title,genre,rating,status,episodes,release year,description
The Fable,"['Anime', 'Hài hước', 'Seinen']","['6.9', '36']",Đang tiến hành,24,2024,N/A
Mission: Yozakura Family,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Siêu năng lực']","['8.4', '149']",Đang tiến hành,25,2024,"Nam sinh trung học Asano Taiyou sau khi mất đi gia đình mình trong một cuộc tai nạn thảm khốc đã trở nên hướng nội và khép kín với tất cả mọi người trừ cô bạn thuở nhỏ Yozakura Mutsumi. Tưởng chừng cuộc sống cậu không thể tồi tệ hơn nữa, nhưng bỗng một ngày tính mạng của Taiyou lại bị đe dọa bởi ông anh trai yêu em gái quá mức của Mutsumi. Cách duy nhất để cậu bảo vệ cho chính mình lẫn Mutsumi là cưới cô ấy và gia nhập gia tộc điệp viên Yozakura đứng hàng đầu trong thế giới ngầm."
Monogatari Series: Off & Monster Season,"['Anime', 'Hài hước', 'Bí ẩn', 'Siêu nhiên', 'Ma cà rồng']","['7.8', '29']",Đang tiến hành,11,2024,N/A
Shy,"['Anime', 'Hành động', 'Siêu năng lực', 'Drama']","['5.2', '72']",Đang tiến hành,24,2023,"Vào giữa thế kỷ 21, chiến tranh đã biến mất khỏi trái đất. Thế rồi đột nhiên, những con người có sức mạnh siêu phàm, được gọi là """"anh hùng"""", đã đồng loạt xuất hiện tại nhiều quốc gia khác nhau, khiến công cuộc tìm kiếm hòa bình có những thay đổi đáng kể. Trong một thế giới mà những anh hùng từ các quốc gia khác nhau làm việc để duy trì nền hòa bình mới tìm được, người chịu trách nhiệm cho hòa bình của Nhật Bản là một nữ anh hùng rụt rè, rất ngại xuất hiện trước công chúng, tên là SHY."
Midnight Punch,"['Anime', 'Hài hước', 'Đời thường']","['5.9', '40']",Đang tiến hành,12,2024,"Masakichi, cựu thành viên của nhóm NewTuber nổi tiếng Harikiri Sisters. Sau một bước lùi trong sự nghiệp, cụ thể là bị sa thải bất ngờ ngay trên sóng trực tiếp. Với nỗ lực quay trở lại, cô ấy hợp tác với Live. Cùng nhau, họ bắt tay vào công cuộc lập kênh mới với quyết tâm tạo ra những nội dung gây sốt và đạt mốc 1 triệu người đăng ký trên NewTube. Liệu họ có thể chạm tới ước mơ nội dung của mình hay sẽ bị nhấn nút chặn?"
Tower of God Season 2,"['Anime', 'Hành động', 'Bí ẩn', 'Giả tưởng', 'Drama', 'Phiêu lưu']","['8.5', '151']",Đang tiến hành,12,2024,Phần 2 của Tower of God
Makeine: Too Many Losing Heroines!,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường']","['8.7', '112']",Đang tiến hành,11,2024,"“Eh? Những nữ chính thua cuộc(Makein) là ai cơ?” Tôi- Nukumizu Kazuhiko, một nhân vật phụ trong lớp, đã chứng kiến cảnh tượng cô nàng nổi tiếng- Yanami Anna bị đá. ""Mặc dù cậu ấy đã nói sẽ cưới mình, cậu không thấy làm vậy là quá đáng sao?"" ""Chuyện đó, cậu ấy nói vậy khi nào thế?"" ""Lúc bọn mình 4, 5 tuổi gì đấy"" Chuyện đó không tính đúng không. Chính vào lúc đó, đã xuất hiện những nữ chính mang trên mình cảm giác ""thua cuộc"", như Yakishio Lemon của câu lạc bộ điền kinh, hay Komari Chika của câu lạc bộ văn họcー? ""Nukumizu-kun. Con gái được chia làm hai loại. Là bạn thuở nhỏ, và con mèo vụng trộm"" ""Thì ra là vậy, cách phân loại táo bạo nhỉ"" Vui lên nào, những cô gái tỏa sáng lấp lánh sau thua cuộc. Thời thanh xuân bí ẩn cùng với những Makein- những nữ chính thua cuộc, đã chính thức khai màn!"
"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru","['Hành động', 'Hài hước', 'Phiêu lưu']","['7.7', '156']",Đang tiến hành,12,2024,N/A
Strike the Blood V,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Siêu nhiên', 'Ma cà rồng']","['8.4', '127']",Hoàn thành,4,2022,Phần cuối của series Strike the Blood.
Sengoku Youko,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Drama', 'Siêu nhiên', 'Phiêu lưu']","['7.2', '83']",Đang tiến hành,24,2024,"Thế giới được chia thành hai phe: con người và quái vật gọi là katawara. Mặc dù là một katawara, Tama yêu thương con người và tuyên thệ bảo vệ họ khỏi ác, ngay cả khi đó có nghĩa là phải chiến đấu với loài của mình. Trong khi đó, anh trai của Tama, Jinka, lại ghét con người, mặc dù phần lớn anh cũng là một người. Hai người anh em này được kết hợp với một kiếm sĩ hèn nhát tên là Shinsuke, người muốn học cách trở nên mạnh mẽ."
Ore wa Subete wo [Parry] Suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai,"['Anime', 'Hành động', 'Siêu nhiên', 'Phiêu lưu']","['8.3', '208']",Đang tiến hành,12,2024,N/A
Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Dị giới']","['7.3', '100']",Đang tiến hành,12,2024,N/A
Mob kara Hajimaru Tansaku Eiyuutan,"['Anime', 'Hành động', 'Harem', 'Siêu nhiên', 'Phiêu lưu']","['7.4', '124']",Đang tiến hành,12,2024,"Takagi Kaito là một học sinh và là nhà thám hiểm bình thường. Ngày nọ, cậu nhận được vật phẩm siêu hiếm sau khi đánh bại con slime lạ chưa từng xuất hiện trước đây tại hầm ngục, vật phẩm cho phép cậu triệu hồi một loli với sức mạnh vô song. Hành trình leo rank của nhà thám hiểm bình thường bắt đầu..."
Maou Gun Saikyou No Majutsushi Wa Ningen Datta,"['Anime', 'Hành động', 'Siêu nhiên', 'Xuyên không']","['7.2', '130']",Hoàn thành,12,2024,Ẩn thân dưới cái áo choàng và mặt nạ làm một bí mật có thể dẫn đến cái chết của chủ nhân nó.
Kengan Ashura 3nd Season,"['Anime', 'Hành động', 'Võ thuật']","['8.3', '52']",Hoàn thành,28,2023,"Vòng 2 của Giải đấu Sinh tử Kengan tiếp tục mà không có Ohma. Khi các đấu sĩ hùng mạnh đụng độ nhau, một nhân vật mờ ám âm mưu màn nổi loạn bạo lực."
Kim Ngô Vệ,"['Hành động', 'Thám tử', 'CN Animation', 'Huyền ảo']","['6.1', '46']",Hoàn thành,16,2024,"Lôi hỏa chết người, lời đồn lan rộng, âm binh mặt chuột hoành hành đế đô, tất cả dường như đều hướng đến bí mật của tiền triều đã bị lôi hỏa hủy diệt. "
Suicide Squad ISEKAI,"['Anime', 'Hành động', 'Xuyên không']","['8.1', '80']",Đang tiến hành,10,2024,N/A
SPY×FAMILY CODE: White,"['Anime', 'Hành động', 'Hài hước', 'Đời thường']","['9.4', '61']",Hoàn thành,1,2024,N/A
"Bye Bye, Earth","['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu']","['5.6', '16']",Đang tiến hành,1,2024,N/A
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Đời thường']","['6.7', '50']",Đang tiến hành,12,2024,N/A
Shikanoko Nokonoko Koshitantan,"['Anime', 'Hài hước', 'Học đường']","['8.4', '125']",Đang tiến hành,12,2024,"Không ai biết về bí mật của Torako - rằng cô từng là người từng một thời làm giang hồ. Đối với các bạn cùng lớp, thì cô ấy là một nữ sinh hoàn hảo. Nhưng cuộc sống học đường của Torako dần bị xáo trộn khi Nokotan, một nữ sinh chuyển trường với đôi gạc theo đúng nghĩa đen và có một khứu giác kỳ lạ, nên cô ấy có thể ""đánh hơi"" được quá khứ của Torako. Dù là trường học hay sở thú, thì Nokotan vẫn luôn là ""cô nai"" kỳ lạ, làm đảo lộn mọi nhận thức thông thường của Torako. Liệu Torako là một cô gái, hay là một con nai hoặc thậm chí là cả hai? Cùng đón xem nhé!"
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,"['Anime', 'Hài hước', 'Tình cảm', 'Học đường']","['9.2', '387']",Đang tiến hành,12,2024,"Tokidoki Bosotto Russia-go De Dereru Tonari No Alya-san kể về tình yêu giữa Masachika và Alisa Mikhailovna Kujou - người thường được gọi là Alya. Mặc dù lạnh lùng và khó gần, nhưng Alya lại thân thiện với Masachika - một trong số ít người hiểu được tiếng Nga của cô."
Ramen Akaneko,"['Anime', 'Hài hước', 'Shounen']","['7.0', '12']",Đang tiến hành,10,2024,N/A
Doraemon Movie 43 Nobita Và Bản Giao Hưởng Địa Cầu,"['Anime', 'Hài hước', 'Siêu nhiên', 'Phiêu lưu']","['8.9', '28']",Hoàn thành,1,2024,N/A
Henjin no Salad Bowl,"['Anime', 'Hài hước', 'Giả tưởng']","['7.6', '51']",Hoàn thành,12,2024,"Sousuke Kaburaya, một thám tử nghèo khó, gặp Sara, một công chúa đến từ thế giới khác với sức mạnh ma thuật. Họ bắt đầu sống cùng nhau và Sara nhanh chóng điều chỉnh cuộc sống của mình để phù hợp với Nhật Bản hiện đại."
Shinigami Bocchan to Kuro Maid 3rd Season,"['Anime', 'Hài hước', 'Tình cảm', 'Siêu nhiên']","['8.5', '83']",Hoàn thành,12,2024,Phần 3 của bộ phim Shinigami Bocchan to Kuro Maid
Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Phiêu lưu']","['8.2', '230']",Hoàn thành,12,2024,"Banaza là một thương nhân luôn chăm chỉ làm việc mỗi ngày đã bị đột nhiên triệu hồi tới Vương Quốc Ma Pháp Klyrode xa lạ làm ứng viên dũng sĩ. Tuy nhiên, anh đã bị đánh trượt vì chỉ có cấp độ 1 giống như dân thường. Không những vậy, anh còn không thể trở về vì sai lầm của chính quyền... Banza đã rời vương đô để tới vùng biên cảnh và phải chiến đấu với slime để giữ mạng. Thế rồi, câu chuyện có bước chuyển biến lớn sau khi anh thay đổi hình dáng và tên họ. Một ma thú đã phải lòng anh đi tới hôn nhân. Thế là họ cùng nhau hướng tới một cuộc sống thảnh thơi, không phân biệt chủng tộc!"
Shuumatsu Train Doko E Iku,"['Anime', 'Hài hước', 'Đời thường', 'Phiêu lưu', 'Viễn tưởng']","['6.7', '64']",Hoàn thành,12,2024,"Câu chuyện của anime diễn ra tại một thị trấn nông thôn bí ẩn, nơi xảy ra những sự kiện kỳ lạ. Shizuru Chikura, một cô gái trẻ, đang tìm kiếm người bạn mất tích của mình. Cô cùng ba người bạn lên một chuyến tàu bí ẩn, bắt đầu cuộc hành trình ra thế giới bên ngoài, nơi sự sống còn trở nên khó khăn. Họ sẽ phải đối mặt với những thử thách gì ở điểm đến cuối cùng của ""Chuyến tàu ngày tận thế""?"
Tsuki ga Michibiku Isekai Douchuu 2nd Season,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Xuyên không']","['9.0', '560']",Hoàn thành,25,2024,Phần 2 của bộ phim Tsuki ga Michibiku Isekai Douchuu
Yoru no Kurage wa Oyogenai,"['Anime', 'Hài hước', 'Đời thường']","['7.5', '65']",Hoàn thành,12,2024,"""Mình"" cũng muốn tỏa sáng như ai đó. Điện thoại thông minh sẽ luôn chỉ cho chúng ta biết chủ đề nên nói của ngày mai, trang phục nên mua trong tuần. Thế giới này luôn bận rộn đến mức, ta chẳng có thời gian để mơ biến thành một con người khác. Umituki Yoru, một họa sĩ minh họa đang dừng hoạt động. Tachibana Nonoka, một cựu Idol đang muốn đi hát trở lại. Ryuugasaki, Vtuber mạnh nhất tự phong. Kimura-chan, một người soạn nhạc bí ẩn muốn hỗ trợ Oshi của mình. Bốn cô gái có chút lạc lõng với thế giới, đã tạo thành một nhóm nghệ sĩ ẩn danh lấy tên là JELEE. Nếu ""chúng ta"" không phải chính mình, biết đâu sẽ có thể tỏa sáng."
"Maou No Ore Ga Dorei Elf Wo Yome Ni Shitanda Ga, Dou Medereba Ii?","['Anime', 'Hành động', 'Hài hước', 'Tình cảm']","['8.7', '255']",Hoàn thành,12,2024,"Zagan bị kinh sợ bởi hắn là một hắc pháp sư, hắn nguy hiểm và nói năng cục cằn và một lần nữa cho lũ trộm xâm nhập vào lãnh thổ của hắn ăn hành khi hắn đang dở nghiên cứu lúc sáng nay. Trong buổi đấu giá ngầm, hắn trông thấy một em tinh linh nô lệ trắng, Nephie, thiếu nữ có nét đẹp tuyệt trần. Đổ ngay từ cái nhìn đầu tiên, hắn dồn hết của cải để mua cô, nhưng kĩ năng giao tiếp xã hội quá nát, hắn không biết cách để giao tiếp với cô. Và thế là cuộc sống chung vụng về của pháp sư không biết thổ lộ tình cảm của mình và bé nô lệ mong muốn thiết tha chủ nhân của mình nhưng không biết nói ra nó như thế nào, bắt đầu."
Astro Note,"['Anime', 'Hài hước', 'Tình cảm', 'Siêu nhiên']","['4.9', '43']",Hoàn thành,12,2024,"Takumi, một đầu bếp tài năng, vừa bị cho thôi việc. Anh ấy nhận được hợp đồng biểu diễn tại một khu nhà trọ cũ tên là Astro-sou nhưng do dự chấp nhận sau khi biết mình cũng phải sống ở đó toàn thời gian. Đó là cho đến khi anh gặp người chăm sóc xinh đẹp và quyến rũ, Mira, và anh bị bán. Cả hai bắt đầu làm việc cùng nhau và mối quan hệ của họ ngày càng sâu sắc. Nhưng Mira có một bí mật: cô ấy không đến từ thế giới này!"
Kono Subarashii Sekai ni Shukufuku wo! 3,"['Anime', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Dị giới']","['9.5', '287']",Hoàn thành,11,2024,Phần 3 của hành trình tấu tài ở dị giới
Plus-Sized Elf,"['Anime', 'Tình cảm', 'Harem', 'Siêu nhiên']","['4.1', '60']",Hoàn thành,12,2024,"Naoe-kun, một nhà trị liệu mát-xa, đang chuẩn bị về nhà trong ngày thì anh ấy đang phải đối mặt với một bệnh nhân khá kỳ lạ. Người phụ nữ đáng yêu này có đôi mắt màu ngọc lục bảo, đôi tai nhọn và lớn lên trong rừng—mọi thứ về tiếng hét của cô ấy đều là ""yêu tinh"", ngoại trừ một điều: cơ thể săn chắc của cô ấy. Hóa ra cô ấy đã rời bỏ thế giới của mình nhưng lại yêu thích đồ ăn vặt trong thế giới này, và giờ nỗi ám ảnh đã đuổi kịp cô ấy. Liệu Naoe-kun có thể giúp cô gái yêu tinh đáng yêu này giảm cân—và duy trì cân nặng đó không?"
Senpai wa Otokonoko,"['Anime', 'Tình cảm', 'Học đường']","['6.0', '25']",Đang tiến hành,11,2024,N/A
Gimai Seikatsu,"['Anime', 'Tình cảm']","['9.0', '192']",Hoàn thành,12,2024,"Asamura Yuuta, một học sinh cao trung bắt đầu sống cùng dưới một mái nhà với cô nữ sinh đẹp nhất khối- Ayase Saki dưới danh nghĩa anh em sau khi bố mẹ cả hai quyết định tái hôn. Chứng kiến cảnh bất hòa giữa hai vị phụ huynh trước kia của mình, cả hai người đều có những định kiến chẳng mấy tốt đẹp gì đối với mối quan hệ nam nữ. Sau đó, Yuuta và Saki đã thiết lập nên một lời hứa rằng không ai được phép quá xa, cũng không được phép bất hòa, chỉ giữ khoảng cách cần thiết trong mối quan hệ của cả hai."
Kimi ni Todoke 3nd Season,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường', 'Shoujo']","['9.0', '29']",Hoàn thành,6,2024,N/A
Vampire Dormitory,"['Anime', 'Tình cảm', 'Siêu nhiên', 'Ma cà rồng']","['5.9', '32']",Hoàn thành,12,2024,"Ba mẹ cô ấy mất sớm, sau khi học hết chương trình giáo dục bắt buộc cô ấy đã bị họ hàng đuổi ra khỏi nhà và phải sống cảnh nay đây mai đó. Cô có vẻ ngoài khá ưa nhìn và đó là điều khiến cô luôn gặp rắc rối trong cuộc sống lẫn công việc. Một ngày nọ, cô vô tình gặp phải một anh chàng ma cà rồng, và anh ta đã chê máu cô dở thậm tệ."
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II","['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Quân đội']","['7.4', '54']",Đang tiến hành,4,2024,N/A
Mushoku Tensei II: Isekai Ittara Honki Dasu (Ss3),"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Giả tưởng', 'Drama', 'Ecchi']","['8.7', '683']",Hoàn thành,25,2023,Mùa thứ 2 của Series anime Mushoku Tensei Thất nghiệp chuyển sinh
Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,"['Anime', 'Hành động', 'Tình cảm', 'Phiêu lưu']","['3.7', '194']",Hoàn thành,12,2024,"Cựu Anh Hùng Bị Trục Xuất Sống Theo Ý Muốn Của Mình (Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita) kể về Allen - người bị xem là không thể nhận được món quà từ Chúa. Nhưng danh tính thực sự của anh ta là một cựu anh hùng với ký ức và sức mạnh của kiếp trước! Anh bị trục xuất khỏi gia đình công tước, Allen đã cố gắng bắt đầu một hành trình tự do."
